,Acceptance,Asking price,Asking price per m²,Bathroom facilities,Building type,Energy label,Exterior space attached to the building,Facilities,Garden,Heating,Hot water,Insulation,Kind of house,Listed since,Living area,Location,bathrooms,rooms,Number of stories,Plot size,Specific,Status,Type of parking facilities,Type of roof,Volume in cubic meters,Year of construction,url,Accessibility,Annual meeting,Balcony/roof garden,Building insurance,CH boiler,External storage space,Located at,Maintenance plan,Periodic_contribution,Provisional energy label,Registration with KvK,Reserve fund present,Shed / storage,Type apartment,VVE (Owners Association) contribution,Quality marks,Service charges,Sun terrace,Type of garage,Other space inside the building,Garden location,Capacity,Back_garden,Construction period,city,bedroom,toilet,price_contribution
53,Available in consultation,290000,8529,Shower and toilet,Resale,E  ,3,Elevator and TV via cable,,Communal central heating,Electrical boiler,Double glazing,,3 ,34,"Alongside park, in residential district and unobstructed surrounding view",1 ,2  ,1,,Partly furnished with carpets and curtains,Sold under reservation,"Paid parking, public parking and resident's parking permits",,110,1966,https://www.funda.nl/en/koop/amsterdam/appartement-42601453-van-nijenrodeweg-413,,Yes,Balcony ,Yes,,6,5 ,Yes,Yes ,,Yes,Yes,Storage box,Upstairs apartment (apartment), 106.07  ,, 106  ,,,,,,,,amst,1 ,, 106.07 
54,Available in consultation,400000,5970,Shower,Resale,E  ,5,,,,,,,5 ,67,Alongside a quiet road and unobstructed surrounding view,1  ,3  ,3,,,Sold under reservation,,,220,1963,https://www.funda.nl/en/koop/amsterdam/appartement-42697197-schierstins-80,,Yes,Balcony ,Yes,,5,3 ,Yes,Yes ,,Yes,Yes,Storage box,Residential property with shared street entrance (apartment), 108.00  ,, 108  ,,,1 ,,,,,amst,2 , 1 , 108.00 
55,Available in consultation,350000,6863,Shower,Resale,E  ,5,"Optical fibre, passive ventilation system and TV via cable",,Gas heaters,Gas water heater,No insulation,,0,51,Alongside a quiet road and in residential district,1  ,2  ,1,,,Available,Paid parking and resident's parking permits,Flat  covered with asphalt ing,172,1910,https://www.funda.nl/en/koop/amsterdam/appartement-42625364-madurastraat-64-2,,Yes,Balcony ,Yes,,,2 ,No,Yes ,,Yes,Yes,,Upstairs apartment (apartment), 80.00  ,,,,,,,,,,amst,1 , 1 , 80.00 
56,Available in consultation,425000,5903,,Resale,E  ,4,Electricity,,CH boiler,CH boiler,Double glazing,,3 ,72,In residential district,1 ,3  ,2,,,Available,"Paid parking, public parking and resident's parking permits",Gable  covered with  tiles,259,1925,https://www.funda.nl/en/koop/amsterdam/appartement-42615339-kamperfoelieweg-126,,Yes,Balcony ,Yes,"Vaillant ecoTEC plus VHR (gas-fired combination boiler from 2015, in ownership)",3,2 ,Yes,Yes ,,Yes,Yes,Storage box,Upstairs apartment (double upstairs apartment), 113.29  ,,,,,5 ,,,,,amst,2 ,, 113.29 
59,Available in consultation,493500,4486,"Bath, 2 showers and 2 toilets",New,,,,,"District heating, complete floor heating and heat pump",District heating,Completely insulated,,6+ ,110,"On navigable waterway, alongside water, in residential district and unobstructed surrounding view",2  ,4  ,2,,,Sold under reservation,Parking garage,Flat  covered with asphalt ing and other,310,2022,https://www.funda.nl/en/koop/amsterdam/appartement-41111984-tip-maruggstraat-bouwnr-hoekmaiso,,,,,,,3 ,,,A ,,,Built-in,Maisonnette (double upstairs apartment),,Woningborg garantiecertificaat,,,,,,,,,amst,3 , 1 ,
60,Available immediately,315000,8077,Shower,Resale,,17,,Sun terrace,,,,,0,39,,1  ,2  ,1,,,Available,,,92,1940,https://www.funda.nl/en/koop/amsterdam/appartement-42625476-lanseloetstraat-24-4,,Yes,Roof terrace ,Yes,,,,Yes,Yes ,,Yes,Yes,,Upstairs apartment (apartment), 118.00  ,,,,,,,,,,amst,1 , 1 , 118.00 
61,Available immediately,1795000,9917,"Bath, shower and toilet",Resale,C  ,6,Electricity,Back garden,,CH boiler,Insulated walls and floor insulation,,6+ ,181,"Alongside park, alongside a quiet road, in center and in residential district",1  ,6  ,2,,,Sold under reservation,Resident's parking permits,Flat  covered with asphalt ing,650,1898,https://www.funda.nl/en/koop/amsterdam/appartement-41312403-jan-luijkenstraat-32-h,,Yes,Balcony ,Yes,,,Grou ,No,Yes,,Yes,Yes,Attached wooden storage,Ground-floor apartment (bel-etage (main floor)),,,,,,7 , northwest ,,65  ,,amst,2 , 2 ,
62,Available in consultation,890000,10854,Bath and 2 showers,Resale,C  ,8,Elevator,,CH boiler and partial floor heating,CH boiler,Completely insulated,,2 ,82,Alongside water and in center,2  ,3  ,1,,Protected townscape or village view (permit needed for alterations),Sold under reservation,Paid parking and resident's parking permits,,280,1905,https://www.funda.nl/en/koop/amsterdam/appartement-42618431-nicolaas-witsenkade-27-c,,Yes,Balcony  and french balcony ,Yes,"Gas-fired from 2015, in ownership",,3 ,No,Yes ,,Yes,Yes,,Upstairs apartment (apartment), 188.90  ,,,,,,,,,,amst,2 , 1 , 188.90 
63,Available in consultation,290000,8788,,Resale,C  ,2,Electricity,,Communal central heating and district heating,Electrical boiler,Double glazing,,0,33,Alongside park,1 ,2  ,1,,,Available,Paid parking and resident's parking permits,Flat ,111,1964,https://www.funda.nl/en/koop/amsterdam/appartement-42628389-van-nijenrodeweg-712,,Yes,Balcony ,Yes,,4,7 ,Yes,Yes ,,Yes,Yes,Storage box,Apartment with shared street entrance, 87.80  ,,,,,,,,,,amst,1 ,, 87.80 
64,Available in consultation,450000,6618,Shower,Resale,C  ,7,Electricity,,CH boiler,CH boiler,Double glazing,,0,68,"Alongside a quiet road, in residential district and unobstructed surrounding view",1  ,4  ,1,,,Available,Resident's parking permits,Flat ,218,1955,https://www.funda.nl/en/koop/amsterdam/appartement-42614038-lord-kelvinstraat-15-1,,Yes,Balcony ,Yes,"Gas-fired combination boiler, in ownership",6,,Yes,Yes ,,Yes,Yes,Storage box,Upstairs apartment (apartment), 187.00  ,,,,,,,,,,amst,2 , 1 , 187.00 
65,Available in consultation,745000,6057,,New,,8,Electricity,,Complete floor heating and heat recovery unit,Central facility,Completely insulated,,0,123,"Alongside a quiet road, in residential district and unobstructed surrounding view",1  ,3  ,2,,Renovation project,Available,Paid parking and parking garage,Flat  covered with asphalt ing,320,2022,https://www.funda.nl/en/koop/amsterdam/appartement-42637977-wijnsilostraat-179,,,Balcony ,,,,1 ,,,,,,Built-in,Maisonnette,,, 284  ,,Underground parking and parking place,,,,,,amst,1 , 1 ,
67,Available in consultation,400000,6557,Shower,Resale,E  ,5,Passive ventilation system and TV via cable,,CH boiler,CH boiler,No insulation,,2 ,61,"Alongside a quiet road, on navigable waterway, in residential district and unobstructed surrounding view",1  ,4  ,4,,,Available,Resident's parking permits,Flat  covered with asphalt ing,205,1925,https://www.funda.nl/en/koop/amsterdam/appartement-42619842-admiralengracht-66-ll,,Yes,Balcony ,Yes,"HRE Kombi Kompakt 28/24 ketel (gas-fired combination boiler from 2014, in ownership)",,2 ,Yes,Yes,,Yes,Yes,,Upstairs apartment (apartment),,, 90  ,,,,,,,,amst,3 , 1 ,
68,Available in consultation,2750000,15027,3 showers and toilet,Resale,,21,"Air conditioning, alarm installation, outdoor awning, <{cctv}>, smart home, elevator, mechanical ventilation, passive ventilation system, flue and TV via cable",,Complete floor heating,CH boiler,"Roof insulation, double glazing and insulated walls",,2 ,183,In residential district,3  ,5  ,2,,Listed building (national monument) and monumental building,Available,Paid parking and resident's parking permits,Flat ,480,1961,https://www.funda.nl/en/koop/amsterdam/appartement-42612389-overtoom-545-c-d,,Yes,"Roof terrace , balcony  and french balcony ",Yes,,10,6 ,Yes,Yes ,,Yes,Yes,Storage box,Penthouse (double upstairs apartment with open entrance to street), 472.67  ,,,,Not yet present but possible,,,,,,amst,3 , 2 , 472.67 
69,Available in consultation,449000,8472,,Resale,A  ,25,,,CH boiler,CH boiler,Double glazing,,0,53,In residential district,1  ,3  ,1,,,Available,,,165,1926,https://www.funda.nl/en/koop/amsterdam/appartement-88089978-valentijnkade-57-a,,Yes,Balcony ,Yes,"Gas-fired, in ownership",,1 ,Yes,Yes ,,Yes,Yes,,Mezzanine (apartment), 109.00  ,,,,,,,,,,amst,2 , 1 , 109.00 
70,Available in consultation,415000,7981,,Resale,C  ,5,Electricity,,CH boiler,CH boiler,Double glazing,,0,52,,,4  ,1,,,Available,,Combination  covered with asphalt ing and  tiles,137,1934,https://www.funda.nl/en/koop/amsterdam/appartement-42625605-de-rijpgracht-49-1,,Yes,Balcony ,Yes,"Gas-fired combination boiler, in ownership",6,2 ,Yes,Yes,,Yes,Yes,Built-in,Upstairs apartment (apartment),,, 106  ,,,,,,,,amst,2 ,,
71,Available immediately,450000,8182,Shower,Resale,D   ,4,TV via cable,,CH boiler,CH boiler,Mostly double glazed,,3 ,55,In center,1  ,3  ,1,,,Under offer,Paid parking and resident's parking permits,,176,1861,https://www.funda.nl/en/koop/amsterdam/appartement-88066289-leidsekruisstraat-30-3,,Yes,Balcony ,Yes,"Gas-fired combination boiler, in ownership",,3 ,Yes,Yes ,,Yes,Yes,,Upstairs apartment (apartment), 95.00  ,,,,,,,,,,amst,2 , 1 , 95.00 
72,Available in consultation,785000,4243,2 showers and 2 toilets,Resale,A  ,13,Electricity,Back garden,District heating,District heating,Energy efficient window,"Single-family home, corner house",4 ,185,Alongside park and in residential district,2  ,9  ,4,118,,Available,Public parking,Flat  covered with asphalt ing,649,2011,https://www.funda.nl/en/koop/amsterdam/huis-42608940-schepenlaan-13,,,Roof terrace ,,,7,,,,,,,Detached wooden storage,,,,,,,, west ,,48  ,,amst,8 , 1 ,
73,Available in consultation,500000,5814,Shower and toilet,Resale,C   ,8,"Mechanical ventilation, passive ventilation system and TV via cable",,CH boiler,CH boiler,Double glazing,,7 ,86,Alongside a quiet road and in residential district,1  ,4  ,1,,Double occupancy possible and renovation project,Sold under reservation,"Paid parking, public parking and resident's parking permits",,212,1984,https://www.funda.nl/en/koop/amsterdam/appartement-42689041-spitsbergenstraat-59,,Yes,Balcony ,Yes,"Remeha ( combination boiler from 2021, in ownership)",7,3 ,Yes,Yes ,,Yes,Yes,Storage box,Upstairs apartment (apartment), 129.07  ,,,,,,,,,,amst,3 , 1 , 129.07 
74,Available in consultation,250000,4098,Toilet,Resale,F  ,6,,,Communal central heating,Electrical boiler,,,3 ,61,,1 ,3  ,1,,,Sold under reservation,,Flat  covered with asphalt ing,203,1963,https://www.funda.nl/en/koop/amsterdam/appartement-42600133-langswater-473,,No,,No,,5,8 ,No,No,,No,No,Attached brick storage,Galleried apartment,,, 263  ,,,,,,,,amst,2 ,,
75,Available in consultation,1200000,8889,Bath,Resale,,,,Back garden,CH boiler,CH boiler,,,0,135,"Alongside busy road, alongside a quiet road and in residential district",1  ,4  ,1,,,Available,,,365,1934,https://www.funda.nl/en/koop/amsterdam/appartement-42637041-rooseveltlaan-84-huis,,Yes,,Yes,"Nefit Trendline (gas-fired combination boiler from 2017, in ownership)",5,Grou ,Yes,Yes ,,Yes,Yes,,Ground-floor apartment (apartment), 169.00  ,, 169  ,,,,,,,,amst,3 , 1 , 169.00 
76,Available in consultation,479000,7726,Toilet,Resale,D  ,,Electricity,Back garden,CH boiler,CH boiler,Double glazing and floor insulation,,4 ,62,Alongside a quiet road and in residential district,1  ,3  ,1,,Listed building (national monument) and monumental building,Sold under reservation,"Paid parking, public parking and resident's parking permits",,226,1913,https://www.funda.nl/en/koop/amsterdam/appartement-88057855-sumatrastraat-10-d,Disabled access friendly and accessible for seniors,Yes,,Yes,"HR combi ketel Intergas (gas-fired combination boiler from 2017, in ownership)",7,Grou ,Yes,Yes ,,Yes,Yes,Detached brick storage,Ground-floor apartment (apartment), 162.24  ,Energie Prestatie Advies,,,,, west,,46  ,,amst,2 , 1 , 162.24 
77,Available in consultation,600000,6000,,Resale,A  ,9,"Optical fibre, elevator, mechanical ventilation, passive ventilation system and TV via cable",,District heating and complete floor heating,District heating,Completely insulated,,0,100,"Alongside a quiet road, in residential district and unobstructed surrounding view",1  ,3  ,1,,,Available,,Flat  covered with asphalt ing,319,2020,https://www.funda.nl/en/koop/amsterdam/appartement-42637072-faas-wilkesstraat-245,Accessible for seniors,Yes,Balcony ,Yes,,6,3 ,No,Yes ,,Yes,Yes,Built-in,Upstairs apartment (apartment), 212.24  ,,,,Underground parking and parking place,,,,,,amst,2 , 1 , 212.24 
78,Available in consultation,675000,8036,Shower,Resale,D  ,5,Mechanical ventilation and TV via cable,,Communal central heating,Central facility,Double glazing,,4 ,84,Alongside a quiet road and in residential district,1  ,5  ,1,,Protected townscape or village view (permit needed for alterations) and listed building (national monument),Sold under reservation,"Paid parking, public parking and resident's parking permits",Combination  covered with asphalt ing and  tiles,277,1928,https://www.funda.nl/en/koop/amsterdam/appartement-42607762-deurloostraat-127-ii,,Yes,Balcony ,Yes,,,2 ,Yes,Yes,,Yes,Yes,,Upstairs apartment (apartment),,, 149  ,,,,,,,,amst,3 , 1 ,
79,Available in consultation,450000,6164,,Resale,A  ,7,Electricity,,CH boiler,CH boiler,,,5 ,73,Alongside a quiet road and in residential district,1  ,3  ,1,,,Sold under reservation,"Paid parking, public parking and resident's parking permits",Flat  covered with asphalt ing,244,,https://www.funda.nl/en/koop/amsterdam/appartement-42692176-knsm-laan-682,,Yes,Balcony ,Yes,"Gas-fired combination boiler, in ownership",5,2 ,Yes,Yes ,,Yes,Yes,Detached brick storage,Apartment with shared street entrance (apartment), 128.43  ,,,,,,,,,1991-2000,amst,2 , 1 , 128.43 
80,Available in consultation,450000,8333,Toilet,Resale,E  ,5,Passive ventilation system and TV via cable,,CH boiler,CH boiler,Double glazing,,0,54,Alongside a quiet road and in residential district,1 ,3  ,1,,,Available,Paid parking and resident's parking permits,,180,1932,https://www.funda.nl/en/koop/amsterdam/appartement-42620190-gillis-van-ledenberchstraat-27-iii,,Yes,Balcony ,Yes,"Vaillant VHR-C (gas-fired combination boiler from 2005, in ownership)",,4 ,Yes,Yes ,,Yes,Yes,,Upstairs apartment (apartment), 137.00  ,,,,,,,,,,amst,2 ,, 137.00 
81,Available in consultation,379000,7580,Shower,Resale,F  ,5,,,CH boiler,CH boiler,,,4 ,50,In residential district,1  ,2  ,3,,,Sold under reservation,"Paid parking, public parking and resident's parking permits",Combination  covered with asphalt ing and  tiles,159,1938,https://www.funda.nl/en/koop/amsterdam/appartement-42588572-moerdijkstraat-35-ii,,Yes,Balcony ,Yes,"HR combi-ketel (gas-fired combination boiler, in ownership)",9,3 ,Yes,Yes,,Yes,Yes,Built-in,Upstairs apartment (apartment),,,,,,,,,,,amst,1 , 1 ,
82,Available in consultation,475000,4318,Shower and toilet,Resale,A  ,,Mechanical ventilation and TV via cable,Back garden,CH boiler,CH boiler,Completely insulated,"Single-family home, row house",4 ,110,"Alongside park, alongside a quiet road and in residential district",1  ,4  ,2,80,,Sold under reservation,,Shed  covered with  tiles,370,1992,https://www.funda.nl/en/koop/amsterdam/huis-42605749-mechelensingel-47,,,,,Intergas Kombi Kompakt HR 36/30 (2010),3,,,,,,,Attached wooden storage,,,,,,,, east,,"7,5 meter deep and 4 meter broad",,amst,3 , 1 ,
83,Available in consultation,375000,7075,Shower,Resale,A  ,5,"Optical fibre, mechanical ventilation and TV via cable",,CH boiler,CH boiler,Completely insulated,,7 ,53,"Alongside park, in residential district and unobstructed surrounding view",1  ,3  ,1,,,Sold under reservation,Paid parking and resident's parking permits,Flat  covered with asphalt ing,150,1952,https://www.funda.nl/en/koop/amsterdam/appartement-42680725-ernest-staesstraat-39-3,,Yes,Balcony ,Yes,"Intergas (gas-fired combination boiler from 2018, in ownership)",3,4 ,Yes,Yes ,,Yes,Yes,Storage box,Apartment with shared street entrance (apartment), 99.23  ,, 99  ,,,,,,,,amst,1 , 1 , 99.23 
84,Available in consultation,350000,6863,Shower,Resale,B  ,4,,Patio/atrium,District heating,Central facility,Double glazing and insulated walls,,5 ,51,Alongside a quiet road and in residential district,1 ,2  ,1,,,Sold under reservation,Resident's parking permits,,225,1999,https://www.funda.nl/en/koop/amsterdam/appartement-42698278-lampenistenstraat-62,,Yes,Balcony ,Yes,,4,Grou ,Yes,Yes ,,Yes,Yes,Storage box,Ground-floor apartment (apartment), 66.49  ,,,,,,,,,,amst,1 ,, 66.49 
85,Available in consultation,235000,8393,Toilet,Resale,A  ,,Elevator and TV via cable,,District heating,District heating,Completely insulated,,7 ,28,In residential district,1 ,1 ,1,,,Sold under reservation,,,90,2014,https://www.funda.nl/en/koop/amsterdam/appartement-42686923-welnastraat-485,,Yes,French balcony ,Yes,,,5 ,Yes,Yes,,Yes,Yes,,Upstairs apartment (apartment),,, 45  ,,,,,,,,amst,,,
86,Available in consultation,475000,3654,Bath,Resale,B  ,,"Elevator, mechanical ventilation and TV via cable",,CH boiler,CH boiler,Completely insulated,,2 ,130,"Sheltered location, in residential district and unobstructed surrounding view",1  ,5  ,1,,,Sold under reservation,Paid parking and parking garage,Flat ,422,2007,https://www.funda.nl/en/koop/amsterdam/appartement-42675190-bijlmerdreef-500,,Yes,,Yes,"Intergas (gas-fired from 2008, in ownership)",6,1 ,Yes,Yes,,Yes,Yes,Storage box,Upstairs apartment (apartment),,, 175  ,,Underground parking and parking place,,,,,,amst,4 , 1 ,
87,Available in consultation,8200000,10594,Bath and 3 toilets,New,,96,Electricity,,Complete floor heating,Central facility and solar collectors,Completely insulated,,6+ ,774,"Alongside park, on navigable waterway, alongside water, in center, in residential district and unobstructed surrounding view",3  ,9  ,2,,,Available,Parking garage,Flat  covered with asphalt ing,2325,2021,https://www.funda.nl/en/koop/amsterdam/appartement-42438396-badhuiskade,,,Roof terrace  and french balcony ,,,,23 ,,,,,,Built-in,Penthouse (apartment)," 1,146.00  ",SWK garantiecertificaat,,,Garage and parking place,,,4 cars,,,amst,4 , 2 ,
89,Available in consultation,325000,6373,Shower and toilet,Resale,,,Mechanical ventilation,Back garden,District heating,District heating,Completely insulated,"Single-family home, row house",2 ,51,In residential district,1  ,2  ,2,,Partly furnished with carpets and curtains,Sold under reservation,Public parking,Flat  covered with asphalt ing,196,2019,https://www.funda.nl/en/koop/amsterdam/huis-42619712-werktuigstraat-76,,,,,,,,,,,,,,,,, 39  ,,,, south,,27  ,,amst,1 , 1 ,
90,Available immediately,550000,6548,Shower,Resale,C  ,7,"Skylight, mechanical ventilation, passive ventilation system and TV via cable",,CH boiler,CH boiler,Partly double glazed and floor insulation,,2 ,84,Alongside a quiet road and in residential district,1  ,4  ,1,,,Under offer,Public parking and resident's parking permits,Combination  covered with asphalt ing,275,1960,https://www.funda.nl/en/koop/amsterdam/appartement-88076819-kastelenstraat-131-2,,Yes,Balcony ,Yes,"Vailiant (gas-fired, in ownership)",19,2 ,Yes,Yes ,,Yes,Yes,,Mezzanine (apartment), 164.00  ,,,,,,,,,,amst,3 , 1 , 164.00 
